2024-06-20T15:05:20.146320 | INI_CONEX | Juego_1 | 1 | 0 | user1 | n/a |  |
2024-06-20T15:08:37.533128 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | SEND_DICE |
2024-06-20T15:09:51.571721 | PLAYER_REG | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user4 |
2024-06-20T15:09:51.571721 | PLAYER_REG | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user4 |
2024-06-20T15:09:54.620506 | SEND_TEAM_INFO | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user4 |
2024-06-20T15:09:54.620506 | SEND_TEAM_INFO | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | NICK: user4 |
2024-06-20T15:09:51.562214 | INI_CONEX | Juego_1 | 1 | 0 | user4 | n/a |  |
2024-06-20T15:09:54.605188 | INI_CONEX | Juego_1 | 0 | 1 | user4 | n/a |  |
2024-06-20T15:09:54.605188 | GET_TEAM_DATA | Juego_1 | 1 | 0 | user4 | n/a |  |
2024-06-20T15:09:57.823619 | GET_TEAM_DATA | Juego_1 | 0 | 1 | user4 | n/a |  |
2024-06-20T15:09:57.823619 | SELECT_TEAM | Juego_1 | 1 | 0 | user4 | n/a |  |
2024-06-20T15:10:04.724537 | TEAM_MANAGEMENT | Juego_1 | 1 | 0 | 127.0.0.1 | n/a | NICK: user4 |
2024-06-20T15:10:04.724537 | VOTE_MANAGEMENT | Juego_1 | 1 | 0 | 127.0.0.1 | 1 | NICK: user4 |
2024-06-20T15:10:04.755746 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | VOTE_MANAGEMENT |
2024-06-20T15:10:15.465029 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | VOTE_MANAGEMENT: user4 -> y |
2024-06-20T15:10:15.935970 | TEAM_MANAGEMENT | Juego_1 | 0 | 1 | 127.0.0.1 | n/a | GET_INTO_TEAM: 1 |
2024-06-20T15:10:16.966579 | VOTE_MANAGEMENT | Juego_1 | 0 | 1 | 127.0.0.1 | 1 | NICK: user4 |
2024-06-20T15:10:16.966579 | VOTE_MANAGEMENT | Juego_1 | 0 | 1 | 127.0.0.1 | 1 | NICK: user4 |
2024-06-20T15:10:17.076087 | SELECT_TEAM | Juego_1 | 0 | 1 | user4 | 1 |  |
2024-06-20T15:10:26.071508 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | SEND_DICE: 5 |
2024-06-20T15:10:27.779970 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 0 | NPLAYERS: 1 |
2024-06-20T15:10:27.779970 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 1 | NPLAYERS: 2 |
2024-06-20T15:10:27.827620 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | SEND_DICE |
2024-06-20T15:10:27.843655 | GAME_ACTIONS | Juego_1 | 1 | 0 | user4 | 1 | SEND_DICE |
2024-06-20T15:10:29.524801 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | SEND_DICE: 8 |
2024-06-20T15:10:31.239533 | GAME_ACTIONS | Juego_1 | 0 | 1 | user4 | 1 | SEND_DICE: 2 |
2024-06-20T15:10:37.797558 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 1 | NPLAYERS: 2 |
2024-06-20T15:10:37.797558 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:10:37.844303 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | SEND_DICE |
2024-06-20T15:10:38.410322 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | SEND_DICE: 3 |
2024-06-20T15:10:47.820720 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:10:47.820720 | SEND_GAME_STATS | Juego_1 | 1 | 0 | 127.0.0.1 |  |  |
2024-06-20T15:10:47.820720 | SEND_GAME_STATS | Juego_1 | 0 | 1 | 127.0.0.1 |  | Team: 0 - Points 7 +Team: 1 - Points 19 +Team: 2 - Points 13 + |
2024-06-20T15:10:47.868044 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | GET_GAME_STATS |
2024-06-20T15:10:47.868044 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:10:47.884042 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:10:47.884042 | GAME_ACTIONS | Juego_1 | 1 | 0 | user4 | 1 | GET_GAME_STATS |
2024-06-20T15:10:48.149732 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:10:48.149732 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | GET_GAME_STATS |
2024-06-20T15:10:48.165545 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:10:48.165545 | GAME_ACTIONS | Juego_1 | 0 | 1 | user4 | 1 | GET_GAME_STATS |
2024-06-20T15:10:49.993966 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 0 | NPLAYERS: 1 |
2024-06-20T15:10:50.103052 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | SEND_DICE |
2024-06-20T15:10:59.362767 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | SEND_DICE: 7 |
2024-06-20T15:11:00.022982 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 0 | NPLAYERS: 1 |
2024-06-20T15:11:00.022982 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 1 | NPLAYERS: 2 |
2024-06-20T15:11:00.054974 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | SEND_DICE |
2024-06-20T15:11:00.054974 | GAME_ACTIONS | Juego_1 | 1 | 0 | user4 | 1 | SEND_DICE |
2024-06-20T15:11:01.187667 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | SEND_DICE: 1 |
2024-06-20T15:11:02.510494 | GAME_ACTIONS | Juego_1 | 0 | 1 | user4 | 1 | SEND_DICE: 3 |
2024-06-20T15:11:10.040606 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 1 | NPLAYERS: 2 |
2024-06-20T15:11:10.040606 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:11:10.103099 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | SEND_DICE |
2024-06-20T15:11:10.885015 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | SEND_DICE: 10 |
2024-06-20T15:11:20.067224 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:11:20.067224 | SEND_GAME_STATS | Juego_1 | 1 | 0 | 127.0.0.1 |  |  |
2024-06-20T15:11:20.067224 | SEND_GAME_STATS | Juego_1 | 0 | 1 | 127.0.0.1 |  | Team: 0 - Points 14 +Team: 1 - Points 23 +Team: 2 - Points 23 + |
2024-06-20T15:11:20.098342 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:11:20.128624 | GAME_ACTIONS | Juego_1 | 1 | 0 | user4 | 1 | GET_GAME_STATS |
2024-06-20T15:11:20.175612 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:11:20.333931 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:11:20.348969 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | GET_GAME_STATS |
2024-06-20T15:11:20.396576 | GAME_ACTIONS | Juego_1 | 0 | 1 | user4 | 1 | GET_GAME_STATS |
2024-06-20T15:11:20.458103 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:11:22.247363 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 0 | NPLAYERS: 1 |
2024-06-20T15:11:22.324490 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | SEND_DICE |
2024-06-20T15:11:23.048399 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | SEND_DICE: 1 |
2024-06-20T15:11:32.277598 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 0 | NPLAYERS: 1 |
2024-06-20T15:11:32.277598 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 1 | NPLAYERS: 2 |
2024-06-20T15:11:32.308977 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | SEND_DICE |
2024-06-20T15:11:32.355833 | GAME_ACTIONS | Juego_1 | 1 | 0 | user4 | 1 | SEND_DICE |
2024-06-20T15:11:32.745524 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | SEND_DICE: 5 |
2024-06-20T15:11:34.247640 | GAME_ACTIONS | Juego_1 | 0 | 1 | user4 | 1 | SEND_DICE: 2 |
2024-06-20T15:11:42.299989 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 1 | NPLAYERS: 2 |
2024-06-20T15:11:42.299989 | GAME_RUNNING | Juego_1 | 1 | 0 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:11:42.315511 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | SEND_DICE |
2024-06-20T15:11:43.209444 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | SEND_DICE: 8 |
2024-06-20T15:11:52.321598 | GAME_RUNNING | Juego_1 | 0 | 1 | 127.0.0.1 | 2 | NPLAYERS: 1 |
2024-06-20T15:11:52.321598 | SEND_GAME_STATS | Juego_1 | 1 | 0 | 127.0.0.1 |  |  |
2024-06-20T15:11:52.321598 | SEND_GAME_STATS | Juego_1 | 0 | 1 | 127.0.0.1 |  | Team: 0 - Points 15 +Team: 1 - Points 30 +Team: 2 - Points 31 + |
2024-06-20T15:11:52.384307 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:11:52.384307 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | GET_GAME_STATS |
2024-06-20T15:11:52.384307 | GAME_ACTIONS | Juego_1 | 1 | 0 | user4 | 1 | GET_GAME_STATS |
2024-06-20T15:11:52.415082 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:11:52.572589 | GAME_ACTIONS | Juego_1 | 0 | 1 | user1 | 0 | GET_GAME_STATS |
2024-06-20T15:11:52.603265 | GAME_ACTIONS | Juego_1 | 0 | 1 | user2 | 1 | GET_GAME_STATS |
2024-06-20T15:11:52.603265 | GAME_ACTIONS | Juego_1 | 0 | 1 | user3 | 2 | GET_GAME_STATS |
2024-06-20T15:11:52.634847 | GAME_ACTIONS | Juego_1 | 0 | 1 | user4 | 1 | GET_GAME_STATS |
2024-06-20T15:11:54.518612 | SEND_GAME_END | Juego_1 | 1 | 0 | 127.0.0.1 |  |  |
2024-06-20T15:11:54.518612 | SEND_GAME_END | Juego_1 | 0 | 1 | 127.0.0.1 |  |  |
2024-06-20T15:11:54.565691 | GAME_ACTIONS | Juego_1 | 1 | 0 | user4 | 1 | END_GAME |
2024-06-20T15:11:54.581666 | GAME_ACTIONS | Juego_1 | 1 | 0 | user1 | 0 | END_GAME |
2024-06-20T15:11:54.612887 | GAME_ACTIONS | Juego_1 | 1 | 0 | user2 | 1 | END_GAME |
2024-06-20T15:11:54.629214 | GAME_ACTIONS | Juego_1 | 1 | 0 | user3 | 2 | END_GAME |
